Testing with Activation Function: ReLU
Epoch [397/1000] - Loss: 0.2855
Epoch [398/1000] - Loss: 0.2738
Epoch [399/1000] - Loss: 0.2670
Epoch [400/1000] - Loss: 0.2835
Epoch [401/1000] - Loss: 0.2663
Epoch [402/1000] - Loss: 0.2711
Epoch [403/1000] - Loss: 0.2621
Epoch [404/1000] - Loss: 0.2584
Epoch [405/1000] - Loss: 0.2591
Epoch [406/1000] - Loss: 0.2597
Epoch [407/1000] - Loss: 0.2580
Epoch [408/1000] - Loss: 0.2590
Epoch [409/1000] - Loss: 0.2667
Epoch [410/1000] - Loss: 0.2614
Epoch [411/1000] - Loss: 0.2621
Epoch [412/1000] - Loss: 0.2559
Epoch [413/1000] - Loss: 0.2584
Epoch [414/1000] - Loss: 0.2585
Epoch [415/1000] - Loss: 0.2999
Epoch [416/1000] - Loss: 0.2653
Epoch [417/1000] - Loss: 0.2608
Epoch [418/1000] - Loss: 0.2586
Epoch [419/1000] - Loss: 0.2588
Epoch [420/1000] - Loss: 0.2643
Epoch [421/1000] - Loss: 0.2605
Epoch [422/1000] - Loss: 0.2603
Epoch [423/1000] - Loss: 0.2565
Epoch [424/1000] - Loss: 0.2854
Epoch [425/1000] - Loss: 0.3397
Epoch [426/1000] - Loss: 0.2563
Epoch [427/1000] - Loss: 0.2582
Epoch [428/1000] - Loss: 0.2632
Epoch [429/1000] - Loss: 0.2555
Epoch [430/1000] - Loss: 0.2767
Epoch [431/1000] - Loss: 0.2613
Epoch [432/1000] - Loss: 0.2546
Epoch [433/1000] - Loss: 0.2573
Epoch [434/1000] - Loss: 0.2576
Epoch [435/1000] - Loss: 0.2573
Epoch [436/1000] - Loss: 0.2632
Epoch [437/1000] - Loss: 0.2797
Epoch [438/1000] - Loss: 0.2705
Epoch [439/1000] - Loss: 0.2667
Epoch [440/1000] - Loss: 0.2587
Epoch [441/1000] - Loss: 0.2663
Epoch [442/1000] - Loss: 0.2626
Epoch [443/1000] - Loss: 0.2667
Epoch [444/1000] - Loss: 0.2514
Epoch [445/1000] - Loss: 0.2504
Epoch [446/1000] - Loss: 0.2549
Epoch [447/1000] - Loss: 0.2517
Epoch [448/1000] - Loss: 0.2513
Epoch [449/1000] - Loss: 0.2496
Epoch [450/1000] - Loss: 0.2490
Epoch [451/1000] - Loss: 0.2556
Epoch [452/1000] - Loss: 0.2508
Epoch [453/1000] - Loss: 0.2807
Epoch [454/1000] - Loss: 0.3245
Epoch [455/1000] - Loss: 0.2671
Epoch [456/1000] - Loss: 0.2665
Epoch [457/1000] - Loss: 0.2606
Epoch [458/1000] - Loss: 0.2655
Epoch [459/1000] - Loss: 0.2747
Epoch [460/1000] - Loss: 0.3244
Epoch [461/1000] - Loss: 0.2679
Epoch [462/1000] - Loss: 0.2579
Epoch [463/1000] - Loss: 0.2618
Epoch [464/1000] - Loss: 0.2559
Epoch [465/1000] - Loss: 0.2500
Epoch [466/1000] - Loss: 0.2478
Epoch [467/1000] - Loss: 0.2514
Epoch [468/1000] - Loss: 0.2490
Epoch [469/1000] - Loss: 0.2458
Epoch [470/1000] - Loss: 0.2510
Epoch [471/1000] - Loss: 0.2497
Epoch [472/1000] - Loss: 0.2540
Epoch [473/1000] - Loss: 0.2490
Epoch [474/1000] - Loss: 0.2411
Epoch [475/1000] - Loss: 0.2526
Epoch [476/1000] - Loss: 0.2493
Epoch [477/1000] - Loss: 0.2492
Epoch [478/1000] - Loss: 0.2605
Epoch [479/1000] - Loss: 0.2601
Epoch [480/1000] - Loss: 0.2569
Epoch [481/1000] - Loss: 0.2665
Epoch [482/1000] - Loss: 0.2686
Epoch [483/1000] - Loss: 0.2462
Epoch [484/1000] - Loss: 0.2519
Epoch [485/1000] - Loss: 0.2429
Epoch [486/1000] - Loss: 0.2521
